iter	Passed	Remaining
0	0	28
1	0	27
2	0	26
3	1	25
4	1	24
5	1	24
6	1	24
7	2	24
8	2	24
9	2	23
10	2	22
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	21
17	4	21
18	5	21
19	5	21
20	5	20
21	5	20
22	6	20
23	6	20
24	6	20
25	6	19
26	7	19
27	7	19
28	7	18
29	7	18
30	8	18
31	8	17
32	8	17
33	8	17
34	9	17
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	19	5
77	19	5
78	19	5
79	19	4
80	20	4
81	20	4
82	20	4
83	20	3
84	21	3
85	21	3
86	21	3
87	21	2
88	22	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	24	0
99	24	0
